id,customer_pname,customer_name,active,name,partner_code,partner_sub_code,ref,contact_name,position,comment,is_company,customer,supplier,property_payment_term,parent_id,type,use_parent_address,street,street2,zip,city,country_id/id,phone,fax,mobile,email,เขต,กลุ่ม,ชนิดการค้า,category_id,website,user_id
mh_res_partner_1005,,อาร์ตเครื่องเขียน 1997,TRUE,อาร์ตเครื่องเขียน 1997,,,5613,นาง กาญจนา  คงแก้ว,,นาง กาญจนา  คงแก้ว,TRUE,TRUE,FALSE,90,,Default,FALSE,7/20 หมู่ 2 ต.อ่าวลึกเหนือ,อ.อ่าวลึก จ.กระบี่ 81110,,,,"075-681477,681664",075-681907,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1006,ร้าน,ศิริภัณฑ์,TRUE,ร้าน ศิริภัณฑ์,,,5616,รองฯ มนัส,,รองฯ มนัส,TRUE,TRUE,FALSE,0,,Default,FALSE,544/4 หมู่ 2 ต.รัตนภูมิ,อ.ควนเนียง จ.สงขลา 90220,,,,"074-386266, 081-8961055",,,,ภาคใต้,ร้านค้าเครื่องเขียน,,"ภาคใต้,ร้านค้าเครื่องเขียน",,บุญเลิศ
mh_res_partner_1007,ห้างหุ้นส่วนสามัญ,โกล์ด สตาร์ เครื่องเขียน,TRUE,ห้างหุ้นส่วนสามัญ โกล์ด สตาร์ เครื่องเขียน,,,5651,นายมานพ  สุรชัย,,นายมานพ  สุรชัย,TRUE,TRUE,FALSE,60,,Default,FALSE,97/8 หมู่ที่ 4 ต.วิชิต,อ.เมืองภูเก็ต จ.ภูเก็ต 83000,,,,"076-522524, 081-8958322",076-522524,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1008,,จุฬาภัณฑ์,TRUE,จุฬาภัณฑ์,,,5683,นาง จุฬารัตน์  การดี,,นาง จุฬารัตน์  การดี,TRUE,TRUE,FALSE,90,,Default,FALSE,เลขที่ 16/6  ถนนเจ้าฟ้า  ตำบลฉลอง,อำเภอเมืองภูเก็ต  จังหวัดภูเก็ต  83130,,,,,,,,กรุงเทพฯ,ร้านค้าเครื่องเขียน,ขายส่ง,"กรุงเทพฯ,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1009,ห้างหุ้นส่วนสามัญ,เอส บาย คีม เครื่องเขียน,TRUE,ห้างหุ้นส่วนสามัญ เอส บาย คีม เครื่องเขียน,,,5687,คุณ ชงโค  จันทร์สัทธรรม,,คุณ ชงโค  จันทร์สัทธรรม,TRUE,TRUE,FALSE,90,,Default,FALSE,เลขที่ 61/195-6  หมู่ที่ 1  ถนนพัฒนาท้องถิ่น,ตำบลวิชิต  อำเภอเมืองภูเก็ต  จังหวัดภูเก็ต  83000,,,,081-8942322,,,,กรุงเทพฯ,ร้านค้าเครื่องเขียน,ขายส่ง,"กรุงเทพฯ,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_101,บมจ.,สยามแม็คโคร สาขาศรีสะเกษ,TRUE,บมจ. สยามแม็คโคร สาขาศรีสะเกษ,MKR,,,,,,TRUE,TRUE,FALSE,90,,Default,FALSE,112 หมู่ที่6 ต.โพธิ์,อ.เมือง จ.ศรีสะเกษ 33000,,,,,,,,ภาคอีสาน,โมเดิร์นเทรด,ขายส่ง,"ภาคอีสาน,โมเดิร์นเทรด,ขายส่ง",,OF-SM
mh_res_partner_101-1,บมจ.,สยามแม็คโคร,TRUE,บมจ. สยามแม็คโคร,MKR,,27,ฝ่ายจัดซื้อ,,ฝ่ายจัดซื้อ,FALSE,TRUE,FALSE,90,บมจ. สยามแม็คโคร สาขาศรีสะเกษ,Invoice,FALSE,3498 ชั้น 2 ถนนลาดพร้าว  แขวงคลองจั่น,เขตบางกะปิ  กรุงเทพฯ 10240,,,,27231000,,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายส่ง,"กรุงเทพฯ,โมเดิร์นเทรด,ขายส่ง",,OF-SM
mh_res_partner_1010,หจก.,ควนปริงพานิช,TRUE,หจก. ควนปริงพานิช,,,5690,นาย ณัฐวุฒิ  พงษา,,นาย ณัฐวุฒิ  พงษา,TRUE,TRUE,FALSE,90,,Default,FALSE,7/5  ม.6  ต.ควนปริง,อ.เมือง  จ.ตรัง  92000,,,,081-8946761,,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1011,ห้างหุ้นส่วนจำกัด,สงขลาเกตุแก้ว,TRUE,ห้างหุ้นส่วนจำกัด สงขลาเกตุแก้ว,,,5691,คุณ แป๋ว  คุณ  เผือก,,คุณ แป๋ว  คุณ  เผือก,TRUE,TRUE,FALSE,90,,Default,FALSE,"1,3,5 ถ.สวนหมาก ต.บ่อยาง",อ.เมืองสงขลา  จ.สงขลา  90000,,,,074-311021,074-311021,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1012,,สวัสดี สเตชั่นเนอรี่ แอนด์ ก็อปปี้ เซนเตอร์,TRUE,สวัสดี สเตชั่นเนอรี่ แอนด์ ก็อปปี้ เซนเตอร์,,,5692,,,,TRUE,TRUE,FALSE,90,,Default,FALSE,57/1 ม.5  ต.อ่าวนาง,อ.เมืองกระบี่  จ.กระบี่  81000,,,,"075-661304,081-7977392",,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1013,บริษัท,พังงาพลาซ่า จำกัด,TRUE,บริษัท พังงาพลาซ่า จำกัด,,,5695,คุณ ธนิต  ทองเชื่อม,,คุณ ธนิต  ทองเชื่อม,TRUE,TRUE,FALSE,90,,Default,FALSE,2/2-2/5  ถ.ศิริราษฎร์  ต.ท้ายช้าง,อ.เมือง  จ.พังงา  82000,,,,"076-411234,440111",076-411737,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1015,บริษัท,เลิศชัย ออฟฟิศเซ็นเตอร์ จำกัด,TRUE,บริษัท เลิศชัย ออฟฟิศเซ็นเตอร์ จำกัด,,,5698,นาย วันชัย  ยงสถิตศักดิ์,,นาย วันชัย  ยงสถิตศักดิ์,TRUE,TRUE,FALSE,30,,Default,FALSE,113/7 หมู่ 2 ถ.ตรัง-ปะเหลียน ต.โคกหล่อ,อ.เมืองตรัง จ.ตรัง 92000,,,,"075-214457,075-224445",,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1016,หจก.,เลิศชัยโอเอ,TRUE,หจก. เลิศชัยโอเอ,,,5700,นาย โชติ  ชินอรรถพร,,นาย โชติ  ชินอรรถพร,TRUE,TRUE,FALSE,90,,Default,FALSE,981/1-2  ม.4  ถ.ยนตรการกำธร  ต.คลองขุด,อ.เมือง  จ.สตูล  91000,,,,"074-712386,722290",,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1017,หจก.,ยะลาบริบูรณ์,TRUE,หจก. ยะลาบริบูรณ์,,,5701,นาย สุมิตร  เหลืองภัทรวงศ์,,นาย สุมิตร  เหลืองภัทรวงศ์,TRUE,TRUE,FALSE,90,,Default,FALSE,198-198/1  ถ.พิพิธภักดี  ต.สะเตง,อ.เมืองยะลา  จ.ยะลา  95000,,,,073-212331,,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1018,บริษัท,ที.พี.โอ.ภูเก็ต การ์ดโฟน จำกัด,TRUE,บริษัท ที.พี.โอ.ภูเก็ต การ์ดโฟน จำกัด,,,5705,นางศรีวรรณ  อ่องเจริญ,,นางศรีวรรณ  อ่องเจริญ,TRUE,TRUE,FALSE,90,,Default,FALSE,2/14  ถ.มนตรี  ต.ตลาดใหญ่,อ.เมือง  จ.ภูเก็ต  83000,,,,,,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1019,,ปรีดาเครื่องเขียน,TRUE,ปรีดาเครื่องเขียน,,,5706,นายปรีดา  เลิศอัมพรพิทักษ์,,นายปรีดา  เลิศอัมพรพิทักษ์,TRUE,TRUE,FALSE,90,,Default,FALSE,32  ถ.หนองจิก  ต.สะบารัง,อ.เมือง  จ.ปัตตานี  94000,,,,073-336551,073-349836,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_102,บมจ.,สยามแม็คโคร สาขาลำพูน,TRUE,บมจ. สยามแม็คโคร สาขาลำพูน,MKR,,,,,,TRUE,TRUE,FALSE,90,,Default,FALSE,204 หมู่4 ต.บ้านกลาง ,อ.เมือง จ.ลำพูน 51000,,,,,,,,ภาคเหนือ,โมเดิร์นเทรด,ขายส่ง,"ภาคเหนือ,โมเดิร์นเทรด,ขายส่ง",,OF-SM
mh_res_partner_102-1,บมจ.,สยามแม็คโคร,TRUE,บมจ. สยามแม็คโคร,MKR,,27,ฝ่ายจัดซื้อ,,ฝ่ายจัดซื้อ,FALSE,TRUE,FALSE,90,บมจ. สยามแม็คโคร สาขาลำพูน,Invoice,FALSE,3498 ชั้น 2 ถนนลาดพร้าว  แขวงคลองจั่น,เขตบางกะปิ  กรุงเทพฯ 10240,,,,27231000,,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายส่ง,"กรุงเทพฯ,โมเดิร์นเทรด,ขายส่ง",,OF-SM
mh_res_partner_1020,,นวภัณฑ์,TRUE,นวภัณฑ์,,,5707,นางอัญชนา  อาดำ,,นางอัญชนา  อาดำ,TRUE,TRUE,FALSE,90,,Default,FALSE,719/2 ม.4  ถ.ยนตรการกำธร  ต.คลองขุด,อ.เมืองสตูล  จ.สตูล  91000,,,,,,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1021,,ตองหนึ่งรวมภัณฑ์,TRUE,ตองหนึ่งรวมภัณฑ์,,,5717,นาง ณัฐชยา  ศิริรังษี,,นาง ณัฐชยา  ศิริรังษี,TRUE,TRUE,FALSE,90,,Default,FALSE,44/3  ถนนใสน้ำเย็น  ตำบลป่าตอง,อำเภอกระทู้   จังหวัดภูเก็ต  83150,,,,076-344448,076-344646,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1023,,รุ่งทรัพย์เปเปอร์,TRUE,รุ่งทรัพย์เปเปอร์,,,รุ่งทรัพย์,นายธนิต  คณานุรักษ์,,นายธนิต  คณานุรักษ์,TRUE,TRUE,FALSE,90,,Default,FALSE,153  ถ.ระแงะมรรคา ต.บางนาค,อ.เมือง จ.นราธิวาส 96000,,,,"086-5984162,073-522543",073-516223,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1024,,ช้างเครื่องเขียน,TRUE,ช้างเครื่องเขียน,,,5723,น.ส.กมลพร  จันทจร,,น.ส.กมลพร  จันทจร,TRUE,TRUE,FALSE,90,,Default,FALSE,"80,82 ถ.สถลสถานพิทักษ์ ต.กันตัง",อ.กันตัง จ.ตรัง 92110,,,,"075-237121,089-8503787",075-237121,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1025,,อำนาจเซอร์วิส,TRUE,อำนาจเซอร์วิส,,,5731,นายอำนาจ  คันธฬิกา,,นายอำนาจ  คันธฬิกา,TRUE,TRUE,FALSE,90,,Default,FALSE,2/1 หมู่ 3 ถ.จะนะ-นาทวี ต.บ้านนา,อ.จะนะ จ.สงขลา 90130,,,,"074-431163, 087-3982593",,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1026,,สุวรรณสาส์น,TRUE,สุวรรณสาส์น,,,5732,นายบุญสม  อิฐสุวรรณ,,นายบุญสม  อิฐสุวรรณ,TRUE,TRUE,FALSE,90,,Default,FALSE,29/1-29/2 ถ.จำรูญนรา ต.บางนาค,อ.เมืองนราธิวาส จ.นราธิวาส 96000,,,,073-513300,,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1027,บริษัท,เกียรติสินธุ สเตชั่นเนอรี่ จำกัด,TRUE,บริษัท เกียรติสินธุ สเตชั่นเนอรี่ จำกัด,,,4831,คุณกุลวดี-กรีธา  เพ็ชรวรุณ,กรรมการผู้จัดการ,"คุณกุลวดี-กรีธา  เพ็ชรวรุณ, กรรมการผู้จัดการ",TRUE,TRUE,FALSE,90,,Default,FALSE,18/69-72 ถ.แม่หลวน ต.ตลาดเหนือ,อ.เมืองภูเก็ต  จ.ภูเก็ต  83000,,,,"076-211702,211316",076-211520,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1028,ร้าน,โรจนาภัณฑ์,TRUE,ร้าน โรจนาภัณฑ์,,,5767,นางโรจนา  สินธุอุทัย,,นางโรจนา  สินธุอุทัย,TRUE,TRUE,FALSE,90,,Default,FALSE,170 ถ.สายบุรี ต.ตะลุบัน,อ.สายบุรี จ.ปัตตานี 94110,,,,,,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1029,,ปาริชาต,TRUE,ปาริชาต,,,5780,น.ส.ปาริชาต หาญวงศ์จิรวัฒน์,,น.ส.ปาริชาต หาญวงศ์จิรวัฒน์,TRUE,TRUE,FALSE,30,,Default,FALSE,269 หมู่ 2 ต.เหนืองคลอง,อ.เหนือคลอง จ.กระบี่ 81130,,,,,,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_103,บมจ.,สยามแม็คโคร สาขากระบี่,TRUE,บมจ. สยามแม็คโคร สาขากระบี่,MKR,,,,,,TRUE,TRUE,FALSE,90,,Default,FALSE,119 หมู่ที่1 ต.ไสไทย ,อ.เมือง จ.กระบี่ 81000,,,,,,,,ภาคใต้,โมเดิร์นเทรด,ขายส่ง,"ภาคใต้,โมเดิร์นเทรด,ขายส่ง",,OF-SM
mh_res_partner_103-1,บมจ.,สยามแม็คโคร,TRUE,บมจ. สยามแม็คโคร,MKR,,27,ฝ่ายจัดซื้อ,,ฝ่ายจัดซื้อ,FALSE,TRUE,FALSE,90,บมจ. สยามแม็คโคร สาขากระบี่,Invoice,FALSE,3498 ชั้น 2 ถนนลาดพร้าว  แขวงคลองจั่น,เขตบางกะปิ  กรุงเทพฯ 10240,,,,27231000,,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายส่ง,"กรุงเทพฯ,โมเดิร์นเทรด,ขายส่ง",,OF-SM
mh_res_partner_1030,,ฉลองเครื่องเขียน,TRUE,ฉลองเครื่องเขียน,,,5790,น.ส.จันทร์จิรา  อ่อนละมุล,,น.ส.จันทร์จิรา  อ่อนละมุล,TRUE,TRUE,FALSE,90,,Default,FALSE,107/8 หมู่ 4 ต.ราไวย์,อ.เมืองภูเก็ต จ.ภูเก็ต 83000,,,,"081-4153570,090-0718926",,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1032,,ตรัง ซัพพลาย,TRUE,ตรัง ซัพพลาย,,,5802,น.ส.ชนัญญา  วิระพรสวรรค์,,น.ส.ชนัญญา  วิระพรสวรรค์,TRUE,TRUE,FALSE,90,,Default,FALSE,171 ถ.วิเศษกุล ต.ทับเที่ยง,อ.เมือง จ.ตรัง 92000,,,,075-213111,075-218220,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1033,บริษัท,มิคเซ่น แอพพลิเคชั่น จำกัด,TRUE,บริษัท มิคเซ่น แอพพลิเคชั่น จำกัด,,,5804,นางรพีพรรณ  วิระพรสวรรค์,,นางรพีพรรณ  วิระพรสวรรค์,TRUE,TRUE,FALSE,30,,Default,FALSE,173-175 ถ.วิเศษกุล ต.ทับเที่ยง,อ.เมืองตรัง จ.ตรัง 92000,,,,075-220453,075-218220,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1034,,ศรีตรังสาส์น,TRUE,ศรีตรังสาส์น,,,5814,น.ส.สุคนธา  ด้วงคำ,,น.ส.สุคนธา  ด้วงคำ,TRUE,TRUE,FALSE,90,,Default,FALSE,42/2-3 ถ.รัษฎา ต.ทับเที่ยง,อ.เมืองตรัง จ.ตรัง 92000,,,,075-224234,075-211060,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1035,บริษัท,ชัยนรินท์สเตชั่นเนอรี่ จำกัด,TRUE,บริษัท ชัยนรินท์สเตชั่นเนอรี่ จำกัด,,,5819,นาง นวรัตน์  เกียรติ์อภิญญากร,,นาง นวรัตน์  เกียรติ์อภิญญากร,TRUE,TRUE,FALSE,90,,Default,FALSE,45 ถ.ระแงะมรรคา ต.บางนาค,อ.เมืองนราธิวาส จ.นราธิวาส 96000,,,,,073-512775,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1036,ห้างหุ้นส่วนสามัญ,ปัญญาทิพย์(2549),TRUE,ห้างหุ้นส่วนสามัญ ปัญญาทิพย์(2549),,,5834,,,,TRUE,TRUE,FALSE,90,,Default,FALSE,122/4 ถ.กาญจนวณิชย์ ต.สะเดา,อ.สะเดา จ.สงขลา 90120,,,,074-414298-9,,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1037,ร้าน,เลิศชัยออโตเมชั่น,TRUE,ร้าน เลิศชัยออโตเมชั่น,,,5844,,,,TRUE,TRUE,FALSE,90,,Default,FALSE,113/6 หมู่ 2 ถ.ตรัง-ปะเหลียน  ต.โคกหล่อ,อ.เมืองตรัง จ.ตรัง 92000,,,,,,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1038,ร้าน,อ่าวนาง ไอที เซ็นเตอร์,TRUE,ร้าน อ่าวนาง ไอที เซ็นเตอร์,,,5921,นางปรียา  วะจิดี,,นางปรียา  วะจิดี,TRUE,TRUE,FALSE,30,,Default,FALSE,494/2-3 หมู่ 2 ต.อ่าวนาง,อ.เมืองกระบี่ จ.กระบี่ 81000,,,,081-9391709,,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1039,ร้าน,ศุภกร,TRUE,ร้าน ศุภกร,,,5947,,,,TRUE,TRUE,FALSE,90,,Default,FALSE,7/12 ถ.เจ้าฟ้า ต.ตลาดเหนือ,อ.เมืองภูเก็ต จ.ภูเก็ต 83000,,,,081-2731493,076-213663,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_104,บมจ.,สยามแม็คโคร สาขาเพชรบุรี,TRUE,บมจ. สยามแม็คโคร สาขาเพชรบุรี,MKR,,,,,,TRUE,TRUE,FALSE,90,,Default,FALSE,103 หมู่ที่1 ต.หัวสะพาน,อ.เมือง จ.เพชรบุรี 76000,,,,,,,,ภาคใต้,โมเดิร์นเทรด,ขายส่ง,"ภาคใต้,โมเดิร์นเทรด,ขายส่ง",,OF-SM
mh_res_partner_104-1,บมจ.,สยามแม็คโคร,TRUE,บมจ. สยามแม็คโคร,MKR,,27,ฝ่ายจัดซื้อ,,ฝ่ายจัดซื้อ,FALSE,TRUE,FALSE,90,บมจ. สยามแม็คโคร สาขาเพชรบุรี,Invoice,FALSE,3498 ชั้น 2 ถนนลาดพร้าว  แขวงคลองจั่น,เขตบางกะปิ  กรุงเทพฯ 10240,,,,27231000,,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายส่ง,"กรุงเทพฯ,โมเดิร์นเทรด,ขายส่ง",,OF-SM
