id,customer_pname,customer_name,name,partner_code,partner_sub_code,ref,contact_name,position,comment,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id/id,phone,fax,mobile,email,area_name,group_name,sub_group_name,category_id,website,user_id
school_res_partner_11,โรงเรียน,บวรรัตนศาสตร์,โรงเรียน บวรรัตนศาสตร์,,,3232,อ.มนต์ชัย  ตันติพิบูลย์ทรัพย์,,อ.มนต์ชัย  ตันติพิบูลย์ทรัพย์,,,,,Default,,ต.เพ  อ.เมือง,จ.ระยอง 21160,,,,"038-652275,01-8231087",,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,ชัยวัฒน์
school_res_partner_12,โรงเรียน,ทุ่งขนานวิทยา,โรงเรียน ทุ่งขนานวิทยา,,,3343,อ.สายฝน  ทับทิมเทศ,,อ.สายฝน  ทับทิมเทศ,,,,,Default,,อ.สอยดาว จ.จันทบุรี 22180,,,,,,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,ชัยวัฒน์
school_res_partner_13,โรงเรียน,อำนวยวิทย์พัฒน์,โรงเรียน อำนวยวิทย์พัฒน์,,,3392,อ.วิชชุรี  ช่วยชูวงศ์,,อ.วิชชุรี  ช่วยชูวงศ์,,,,,Default,,อ.เมือง จ.จันทบุรี 22000,,,,,,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,ชัยวัฒน์
school_res_partner_14,โรงเรียน,พนัสพิทยาคาร,โรงเรียน พนัสพิทยาคาร,,,3397,อ.เสรี  เกิดสว่าง,,อ.เสรี  เกิดสว่าง,,,,,Default,,อ.พนัสนิคม จ.ชลบุรี 20140,,,,,038-461167,038-462180,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,ชัยวัฒน์
school_res_partner_15,โรงเรียน,อำนวยวิทย์ จันทบุรี,โรงเรียน อำนวยวิทย์ จันทบุรี,,,3412,อ.วิชชุรี  ช่วยชูวงศ์,,อ.วิชชุรี  ช่วยชูวงศ์,,,,,Default,,อ.เมือง จ.จันทบุรี 22000,,,,,039-311208,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,ชัยวัฒน์
school_res_partner_16,โรงเรียน,ประชาอุปถัมภ์,โรงเรียน ประชาอุปถัมภ์,,,0457,ผช.วโรตน์,,ผช.วโรตน์,,,,,Default,,ถนนสามัคคี ตำบลท่าทราย,อำเภอเมือง จังหวัดนนทบุรี  11000,,,,02-5732080-02-5730594,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,ชุมพร
school_res_partner_17,โรงเรียน,เทพศิรินทร์ร่มเกล้า,โรงเรียน เทพศิรินทร์ร่มเกล้า,,,0498,ผอ.อำนวย ทั่วทิพย์,,ผอ.อำนวย ทั่วทิพย์,,,,,Default,,146 หมู่ที่ 3  ถนนร่มเกล้า  แขวงคลองสามประเวศ,เขตลาดกระบัง กรุงเทพฯ 10520,,,,3269905,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,ชุมพร
school_res_partner_18,โรงเรียน,ศึกษานารี,โรงเรียน ศึกษานารี,,,0562,อาจารย์เปรมจิต,,อาจารย์เปรมจิต,,,,,Default,,เชิงสะพานพุทธฯ  ถนนประชาธิปก   แขวงวัดกัลยาณ์,เขตธนบุรี   กรุงเทพฯ  10600,,,,"4650070,",,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,ชุมพร
school_res_partner_19,โรงเรียน,ศึกษานารีวิทยา,โรงเรียน ศึกษานารีวิทยา,,,0563,ผอ.นายพะนอ  จันทวงศ์,,ผอ.นายพะนอ  จันทวงศ์,,,,,Default,,76/4 หมู่ 3 ถนนเอกชัย  แขวงบางบอน,เขตบางขุนเทียน  กรุงเทพฯ  10150  (โทร 4166240),,,,"4166240, 4150487",,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,ชุมพร
school_res_partner_20,โรงเรียน,วัดบางเดื่อ,โรงเรียน วัดบางเดื่อ,,,0601,อาจารย์วัฒนา พรมมาศ-อ.วัฒนา,,อาจารย์วัฒนา พรมมาศ-อ.วัฒนา,,,,,Default,,ต.บางเดื่อ อ.เมืองปทุมธานี,จ.ปทุมธานี 12000,,,,5816086,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,ชุมพร
school_res_partner_21,โรงเรียน,วัดลานนาบุญ,โรงเรียน วัดลานนาบุญ,,,0618,อาจารย์ละเอียด,,อาจารย์ละเอียด,,,,,Default,,70/12 ต.ตลาดขวัญ    อ.เมือง,จ.นนทบุรี,,,,"5250353,9684629",,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,ชุมพร
school_res_partner_22,,วิทยาลัยเทคโนโลยีพิชญเกษม,วิทยาลัยเทคโนโลยีพิชญเกษม,,,0642,อาจารย์แสงดาว,,อาจารย์แสงดาว,,,,,Default,,3/1 ซอยเกษมพณิชยการ สุขุมวิท,แขวงคลองตันเหนือ เขตวัฒนา กทม.,,,,"3919030,3924621",,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,ชุมพร
school_res_partner_23,โรงเรียน,วัดตะคร้ำเอน,โรงเรียน วัดตะคร้ำเอน,,,3120,ผู้อำนวยการ,,ผู้อำนวยการ,,,,,Default,,อ.ท่ามะกา จ.กาญจนบุรี 71130,,,,,,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,ชุมพร
school_res_partner_24,โรงเรียน,สมรรถภาพวิทยา,โรงเรียน สมรรถภาพวิทยา,,,0446,อาจารย์เสาวรัตน์,,อาจารย์เสาวรัตน์,,,,,Default,,327  ถนนสุขสวัสดิ์ 1  หมู่11  แขวงบางปะกอก,เขตราษฎร์บูรณะ  กรุงเทพฯ  10140,,,,4680710,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,ชูเกียรติ
school_res_partner_25,โรงเรียน,ม่วงไข่พิทยาคม,โรงเรียน ม่วงไข่พิทยาคม,,,3088,อ.พรรณธิภา เดชอุปการ,,อ.พรรณธิภา เดชอุปการ,,,,,Default,,ต.หนองม่วงไข่ อ.หนองม่วงไข่,จ.แพร่ 54170,,,,054-635021 ต่อ 111,,,,ภาคเหนือ,โรงเรียน,,"ภาคเหนือ,โรงเรียน,",,ชูเกียรติ
school_res_partner_26,โรงเรียน,พุทธศาสนาวันอาทิตย์,โรงเรียน พุทธศาสนาวันอาทิตย์,,,0685,,,,,,,,Default,,อ.เมือง จ.นนทบุรี,,,,,,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,ชูเกียรติ
school_res_partner_27,โรงเรียน,ลำภูราเรืองวิทย์,โรงเรียน ลำภูราเรืองวิทย์,,,3327,อ.ปราณี  วรศรี,,อ.ปราณี  วรศรี,,,,,Default,,ต.ลำภูรา อ.ห้วยยอด,จ.ตรัง 92190,,,,"075-284250,215354-บ้าน",,,,ภาคใต้,โรงเรียน,,"ภาคใต้,โรงเรียน,",,ชูเกียรติ
school_res_partner_28,โรงเรียน,อนุบาลประชาราษฎร์,โรงเรียน อนุบาลประชาราษฎร์,,,4076,อ.อดินันท์  ทรัพย์เมฆ,ครูใหญ่,"อ.อดินันท์  ทรัพย์เมฆ, ครูใหญ่",,,,,Default,,200 ถ.บรมไตรโลกนารถ ต.ในเมือง,อ.เมือง จ.พิษณุโลก 65000,,,,055-225192-3,055-251999,,,ภาคเหนือ,โรงเรียน,,"ภาคเหนือ,โรงเรียน,",,พีรพัฒน์
school_res_partner_29,,องค์การบริหารส่วนจังหวัดชัยนาท(ชัยนาทพิทยาคม 2),องค์การบริหารส่วนจังหวัดชัยนาท(ชัยนาทพิทยาคม 2),,,3841,อ.ใกล้รุ่ง,,อ.ใกล้รุ่ง,,,,,Default,,อ.เมือง จ.ชัยนาท 17000,,,,,056-414412-3,,,,ภาคเหนือ,โรงเรียน,,"ภาคเหนือ,โรงเรียน,",,ยศวีร์
school_res_partner_30,โรงเรียน,กำจรวิทย์,โรงเรียน กำจรวิทย์,,,3843,อ.วรรณดี  ดำขำ,,อ.วรรณดี  ดำขำ,,,,,Default,,อ.เมือง จ.ลพบุรี 15000,,,,,"036-411442, 09-5268596",,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,ยศวีร์
school_res_partner_31,โรงเรียน,"บ้านหมอ ""พัฒนานุกูล""","โรงเรียน บ้านหมอ ""พัฒนานุกูล""",,,3847,,,,,,,,Default,,อ.บ้านหมอ จ.สระบุรี 18130,,,,,"036-201191,201382",,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,ยศวีร์
school_res_partner_32,โรงเรียน,จำรัสวิทยา,โรงเรียน จำรัสวิทยา,,,3848,รองฯธนวัฒน์  มวกเหล็ก,,รองฯธนวัฒน์  มวกเหล็ก,,,,,Default,,59 หมู่ 1 ต.คำพาน,อ.วังม่วง จ.สระบุรี 18220,,,,036-359030,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,ยศวีร์
school_res_partner_33,โรงเรียน,เมืองใหม่(ชลอราษฎร์รังสฤษฎิ์),โรงเรียน เมืองใหม่(ชลอราษฎร์รังสฤษฎิ์),,,3850,อ.ธวัชชัย  เกษรสุคนธ์,ผู้อำนวยการ,"อ.ธวัชชัย  เกษรสุคนธ์, ผู้อำนวยการ",,,,,Default,,ถ.พหลโยธิน ต.ทะเลชุบศร,อ.เมืองลพบุรี จ.ลพบุรี 15000,,,,036-411269,,,,ภาคเหนือ,โรงเรียน,,"ภาคเหนือ,โรงเรียน,",,ยศวีร์
school_res_partner_34,โรงเรียน,สิงห์บุรี,โรงเรียน สิงห์บุรี,,,3855,อ.อุษา/อ.พรรณอำไพ,,อ.อุษา/อ.พรรณอำไพ,,,,,Default,,อ.เมือง จ.สิงห์บุรี  16000,,,,,036-511521,,,,ภาคเหนือ,โรงเรียน,,"ภาคเหนือ,โรงเรียน,",,ยศวีร์
school_res_partner_35,โรงเรียน,ชัยบาดาลวิทยา,โรงเรียน ชัยบาดาลวิทยา,,,3857,อ.ถวัลย์ บุญแสน,ผอ.,"อ.ถวัลย์ บุญแสน, ผอ.",,,,,Default,,ถ.สุรนารายณ์  อ.ชัยบาดาล,จ.ลพบุรี  15130,,,,"036-461543,461801",,,,ภาคเหนือ,โรงเรียน,,"ภาคเหนือ,โรงเรียน,",,ยศวีร์
school_res_partner_36,โรงเรียน,นนทรีวิทยา,โรงเรียน นนทรีวิทยา,,,0500,ผอ.อดิศร ใสสุก,,ผอ.อดิศร ใสสุก,,,,,Default,,139  ถนนพระราม 3  แขวงช่องนนทรี,ีเขตยานนาวา กรุงเทพฯ 10120,,,,02-2862105,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,วิทยา
school_res_partner_37,,วิทยาลัยเทคนิคราชบุรี  2,วิทยาลัยเทคนิคราชบุรี  2,,,3884,อ.สุศิริ  สว่างสุข,,อ.สุศิริ  สว่างสุข,,,,,Default,,12 หมู่ 2 ต.คุ้งพยอม,อ.บ้านโป่ง จ.ราชบุรี 70110,,,,032-372722,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,วีระพร
school_res_partner_38,โรงเรียน,ประสาทรัฐประชากิจ,โรงเรียน ประสาทรัฐประชากิจ,,,3893,อ.สมเจตน์,,อ.สมเจตน์,,,,,Default,,อ.ดำเนินสะดวก,จ.ราชบุรี 70130,,,,032-241346,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,วีระพร
school_res_partner_39,โรงเรียน,เทศบาล 1 ทรงพลวิทยา,โรงเรียน เทศบาล 1 ทรงพลวิทยา,,,3896,อ.พิมพา,ผช.,"อ.พิมพา, ผช.",,,,,Default,,อ.บ้านโป่ง จ.ราชบุรี 70110,,,,,032-211971,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,วีระพร
school_res_partner_40,โรงเรียน,โพรงมะเดื่อวิทยาคม,โรงเรียน โพรงมะเดื่อวิทยาคม,,,3897,อ.เสรี  ศิริสันติสัมฤทธิ์,ผช.ผอ.,"อ.เสรี  ศิริสันติสัมฤทธิ์, ผช.ผอ.",,,,,Default,,อ.เมือง จ.นครปฐม 73000,,,,,034-255684,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,วีระพร
school_res_partner_41,โรงเรียน,สายธรรมจันทร์,โรงเรียน สายธรรมจันทร์,,,032-241004,อ.เบญจา เชื้อชูชาติ,ผจก.,"อ.เบญจา เชื้อชูชาติ, ผจก.",,,,,Default,,อ.ดำเนินสะดวก จ.ราชบุรี 70130,,,,,032-241004 ต่อ 120,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,วีระพร
school_res_partner_42,โรงเรียน,ท่ามะขามวิทยา,โรงเรียน ท่ามะขามวิทยา,,,3919,อ.ราเมศร์  ภาวะไพบูลย์,ผจก.สหกรณ์,"อ.ราเมศร์  ภาวะไพบูลย์, ผจก.สหกรณ์",,,,,Default,,อ.โพธาราม จ.ราชบุรี 70120,,,,,032-375034-5,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,วีระพร
school_res_partner_43,โรงเรียน,บางแพปฐมพิทยา,โรงเรียน บางแพปฐมพิทยา,,,3925,อ.ไพฑูรย์  กองจินดา,,อ.ไพฑูรย์  กองจินดา,,,,,Default,,อ.บางแพ จ.ราชบุรี 70160,,,,,032-381186,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,วีระพร
school_res_partner_44,โรงเรียน,พระธาตุหนองสามหมื่น,โรงเรียน พระธาตุหนองสามหมื่น,,,8645,ผอ.สนองชัย,,ผอ.สนองชัย,,,,,Default,,ต.บ้านแก้ง อ.ภูเขียว,จ.ชัยภูมิ 36130,,,,044-861281/บ้าน,01-6017665 อ.วรรณภา,,,ภาคอีสาน,โรงเรียน,,"ภาคอีสาน,โรงเรียน,",,ศรัณย์พร
school_res_partner_45,โรงเรียน,ภูเขียว,โรงเรียน ภูเขียว,,,8659,,,,,,,,Default,,ต.ผักบัว  อ.ภูเขียว,จ.ชัยภูมิ  36110,,,,044-861430,,,,ภาคอีสาน,โรงเรียน,,"ภาคอีสาน,โรงเรียน,",,ศรัณย์พร
school_res_partner_46,,วิทยาลัยเทคโนโลยีชัยภูมิบริหารธุรกิจ,วิทยาลัยเทคโนโลยีชัยภูมิบริหารธุรกิจ,,,3834,อ.นิตยา,การเงิน,"อ.นิตยา, การเงิน",,,,,Default,,107/118 ก. ถ.ชัยประสิทธิ์ ต.ในเมือง,อ.เมือง  จ.ชัยภูมิ  36000,,,,"044-811331,086-8727883",044-811331,,,ภาคอีสาน,โรงเรียน,,"ภาคอีสาน,โรงเรียน,",,ศรัณย์พร
school_res_partner_47,,วิทยาลัยเทคนิคชัยภูมิ,วิทยาลัยเทคนิคชัยภูมิ,,,3851,อ.บำรุง  กอบเงิน,ผู้จัดการสหกรณ์,"อ.บำรุง  กอบเงิน, ผู้จัดการสหกรณ์",,,,,Default,,อ.เมือง จ.ชัยภูมิ 36000,,,,,,,,,ภาคอีสาน,โรงเรียน,,"ภาคอีสาน,โรงเรียน,",,ศรัณย์พร
school_res_partner_48,,วิทยาลัยสารพัดช่างชัยภูมิ,วิทยาลัยสารพัดช่างชัยภูมิ,,,8733,อ.เมธี,ผจก.สหการ,"อ.เมธี, ผจก.สหการ",,,,,Default,,อ.เมือง จ.ชัยภูมิ 36000,,,,,044-812083,,,,ภาคอีสาน,โรงเรียน,,"ภาคอีสาน,โรงเรียน,",,ศรัณย์พร
school_res_partner_49,โรงเรียน,หนองบัวบานวิทยา,โรงเรียน หนองบัวบานวิทยา,,,9056,อ.สุธี  บุญถือ,ผอ.,"อ.สุธี  บุญถือ, ผอ.",,,,,Default,,ต.หนองบัวบาน อ.จัตุรัส,จ.ชัยภูมิ 36130,,,,,,,,ภาคอีสาน,โรงเรียน,,"ภาคอีสาน,โรงเรียน,",,ศรัณย์พร
school_res_partner_50,โรงเรียน,วัดธรรมสถิติ์วราราม,โรงเรียน วัดธรรมสถิติ์วราราม,,,4024,อ.พยอม  บัวลอย,,อ.พยอม  บัวลอย,,,,,Default,,ต.บางขันแตก อ.เมือง,จ.สมุทรสงคราม 75000,,,,034-712619,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,ศุภนิมิต
school_res_partner_51,โรงเรียน,อนุบาลบ้านแพ้ว(วันครู 2500),โรงเรียน อนุบาลบ้านแพ้ว(วันครู 2500),,,1333,,,,,,,,Default,,ต.หลักสาม อ.บ้านแพ้ว,จ.สมุทรสาคร,,,,,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,ศุภนิมิต
school_res_partner_52,โรงเรียน,วัดอ้อมน้อย,โรงเรียน วัดอ้อมน้อย,,,1338,,,,,,,,Default,,อ.กระทุ่มแบน จ.สมุทรสาคร,,,,,,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,ศุภนิมิต
school_res_partner_53,โรงเรียน,กาญจนาภิเษกวิทยาลัยนครปฐม,โรงเรียน กาญจนาภิเษกวิทยาลัยนครปฐม,,,1339,,,,,,,,Default,,ต.ศาลายา อ.พุทธมณฑล,จ.นครปฐม,,,,,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,ศุภนิมิต
school_res_partner_54,โรงเรียน,วัดท่าเสา,โรงเรียน วัดท่าเสา,,,1341,,,,,,,,Default,,อ.กระทุ่มแบน จ.สมุทรสาคร,,,,,,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,ศุภนิมิต
school_res_partner_55,โรงเรียน,อนุบาลพะเยา,โรงเรียน อนุบาลพะเยา,,,3900,ผอ.พงศ์พันธุ์  ฤทธิ์เทพ,,ผอ.พงศ์พันธุ์  ฤทธิ์เทพ,,,,,Default,,23 ถ.ประตูกลอง อ.เมืองพะเยา,จ.พะเยา   56000,,,,"054-431411,482334,01-8813225",,,,ภาคเหนือ,โรงเรียน,,"ภาคเหนือ,โรงเรียน,",,สมภพ
school_res_partner_56,โรงเรียน,อุดรพิชัยรักษ์พิทยา,โรงเรียน อุดรพิชัยรักษ์พิทยา,,,8844,ผอ.นิวรณ์  สุทธิบุญ,,ผอ.นิวรณ์  สุทธิบุญ,,,,,Default,,ต.หมากแข้ง อ.เมือง,จ.อุดรธานี 41000,,,,"042-243231,081-6629908",,,,ภาคอีสาน,โรงเรียน,,"ภาคอีสาน,โรงเรียน,",,สมภพ
