id,customer_pname,customer_name,name,ref,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id/id,phone,mobile,fax,email,area_name,group_name,sub_group_name,category_id,website,comment,user_id
mh_res_partner_17,บริษัท,คิงส์คอลเลจออฟอิงลิช (ประเทศไทย) จำกัด,บริษัท คิงส์คอลเลจออฟอิงลิช (ประเทศไทย) จำกัด,0003,TRUE,TRUE,FALSE,,Default,FALSE,100/14  อาคารอีคิวมอลล์  ถ.แก้วนวรัตน์,ต.วัดเกตุ  อ.เมือง  จ.เชียงใหม่  50000,,,,053-306-733-35,,,,ภาคเหนือ,ร้านค้าทั่วไป,ขายปลีก,"ภาคเหนือ,ร้านค้าทั่วไป,ขายปลีก",,,จรัญ
mh_res_partner_18,บริษัท,คิงส์คอลเลจออฟอิงลิช (ประเทศไทย) จำกัด,บริษัท คิงส์คอลเลจออฟอิงลิช (ประเทศไทย) จำกัด,0007,TRUE,TRUE,FALSE,,Default,FALSE,19 (404 B) อาคารไทยพาณิชย์ ปาร์คพลาซ่า ชั้น 4,ถนนรัชดาภิเษก  แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,,,,02-6648909,,02-6648914,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,จรัญ
mh_res_partner_19,บริษัท,คิงส์คอลเลจออฟอิงลิช (ประเทศไทย) จำกัด,บริษัท คิงส์คอลเลจออฟอิงลิช (ประเทศไทย) จำกัด,0008,TRUE,TRUE,FALSE,,Default,FALSE,622 อาคารดิเอ็มโพเรียม ชั้น 9 ห้อง 3-4 ถนนสุขุมวิท,แขวงคลองตัน  เขตคลองเตย  กรุงเทพฯ 10110,,,,02-9379300,,02-9379295,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,จรัญ
mh_res_partner_20,บริษัท,ดีไลท์ เซอร์วิส แอนด์ มาร์เก็ตติ้ง  จำกัด,บริษัท ดีไลท์ เซอร์วิส แอนด์ มาร์เก็ตติ้ง  จำกัด,0072,TRUE,TRUE,FALSE,,Default,FALSE,22/31-40  ซอยประชาราษฎร์ 4  ถนนประชาราษฎร์ 1,แขวงบางซื่อ  เขตบางซื่อ  กรุงเทพฯ,,,,"5877411,9123037",,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,จรัญ
mh_res_partner_21,หจก.,ไทยบุ๊คสโตร์,หจก. ไทยบุ๊คสโตร์,0152,TRUE,TRUE,FALSE,,Default,FALSE,"2,4,6  ซอยรังสิต - ปทุมธานี 1  ตำบลประชาธิปัตย์",อำเภอธัญบุรี  จังหวัดปทุมธานี  12130,,,,5313368,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,จรินทร์
mh_res_partner_22,ห้างหุ้นส่วนจำกัด,เบญจวิโรฒ,ห้างหุ้นส่วนจำกัด เบญจวิโรฒ,0153,TRUE,TRUE,FALSE,,Default,FALSE,3/25-26  หมู่ 9  ถนนพิบูลสงคราม  ตำบลสวนใหญ่,อำเภอเมืองนนทบุรี  จังหวัดนนทบุรี,,,,5268781,,02-5268782,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,จรินทร์
mh_res_partner_23,,ช.บุญเจริญ,ช.บุญเจริญ,0155,TRUE,TRUE,FALSE,,Default,FALSE,115/7-8  หมู่ 4  ถนนประชาราษฎร์  ตำบลสวนใหญ่,อำเภอเมือง  จังหวัดนนทบุรี,,,,5251453,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,จรินทร์
mh_res_partner_24,,ไชยยะมงคล,ไชยยะมงคล,0299,TRUE,TRUE,FALSE,,Default,FALSE,533 ถนนประชาสงเคราะห์,ต.ดินแดง เขตดินแดง กทม.,,,,,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,จรินทร์
mh_res_partner_25,,สมประเสริฐ,สมประเสริฐ,0300,TRUE,TRUE,FALSE,,Default,FALSE,368  ถนนสุทธิสารวินิจฉัยแยก1  แขวงดินแดง,เขตดินแดง    กทม,,,,2771261,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,จรินทร์
mh_res_partner_26,,ช.จิตต์เจริญ,ช.จิตต์เจริญ,0301,TRUE,TRUE,FALSE,,Default,FALSE,336  ถนนสุทธิสารแยก 1 ห้วยขวาง,เขตดินแดง  กรุงเทพฯ,,,,,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,จรินทร์
mh_res_partner_27,,สุภาภรณ์,สุภาภรณ์,0302,TRUE,TRUE,FALSE,,Default,FALSE,ห้วยขวาง,,,,,,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,จรินทร์
mh_res_partner_28,,กมลวิทย์,กมลวิทย์,0304,TRUE,TRUE,FALSE,,Default,FALSE,สะพานควาย,,,,,,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,จรินทร์
mh_res_partner_29,,ป.วัฒนาพานิช,ป.วัฒนาพานิช,0307,TRUE,TRUE,FALSE,,Default,FALSE,จตุจักร,,,,,2724893-4,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,จรินทร์
mh_res_partner_30,บริษัท,อุดมภัณฑ์มาร์เก็ตติ้ง (2543)  จำกัด,บริษัท อุดมภัณฑ์มาร์เก็ตติ้ง (2543)  จำกัด,0103,TRUE,TRUE,FALSE,,Default,FALSE,29/30-32 ซอยวัดตะพาน ถ.ราชปรารภ,แขวงมักกะสัน เขตราชเทวี กทม.10400,,,,2454857 2456371 6425474-6,,026425477,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,ฉัตรชัย
mh_res_partner_31,ห้างหุ้นส่วนจำกัด,สากลเครื่องเขียนและการพิมพ์,ห้างหุ้นส่วนจำกัด สากลเครื่องเขียนและการพิมพ์,0104,TRUE,TRUE,FALSE,,Default,FALSE,1022  ถนนประชาสงเคราะห์  แขวงดินแดง,เขตดินแดง  กรุงเทพฯ,,,,2450545,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,ฉัตรชัย
mh_res_partner_32,,เจ ซัพพลาย,เจ ซัพพลาย,0116,TRUE,TRUE,FALSE,,Default,FALSE,3502  ถนนเพชรบุรี  แขวงสวนหลวง,เขตสวนหลวง  กรุงเทพฯ,,,,3181863,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,ฉัตรชัย
mh_res_partner_33,,พี แอนด์ ซี ซัพพลาย,พี แอนด์ ซี ซัพพลาย,0117,TRUE,TRUE,FALSE,,Default,FALSE,20 ถนนพัฒนาการ แขวงสวนหลวง,เขตสวนหลวง  กรุงเทพฯ 10250,,,,3144932,,02-319-485,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,ฉัตรชัย
mh_res_partner_34,ห้างหุ้นส่วนจำกัด,สุขวัฒนาพานิช,ห้างหุ้นส่วนจำกัด สุขวัฒนาพานิช,0118,TRUE,TRUE,FALSE,,Default,FALSE,1971- 1973 ซอยรามคำแหง 25  ถนนรามคำแหง,แขวงหัวหมาก  เขตบางกะปิ  กรุงเทพฯ,,,,3141090,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,ฉัตรชัย
mh_res_partner_35,ห้างหุ้นส่วนจำกัด,เศรษฐโชติ,ห้างหุ้นส่วนจำกัด เศรษฐโชติ,0119,TRUE,TRUE,FALSE,,Default,FALSE,"147,149 ถนนวัชรพล แขวงท่าแร้ง",เขตบางเขน กรุงเทพฯ 10230,,,,"9454310-13,01-9133900",,9454130,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,ฉัตรชัย
mh_res_partner_36,บริษัท,สหชัยบราเดอร์ส  จำกัด,บริษัท สหชัยบราเดอร์ส  จำกัด,0120,TRUE,TRUE,FALSE,,Default,FALSE,43  ถนนเสรีไทย  แขวงคลองจั่น,เขตบางกะปิ  กรุงเทพฯ,,,,3778459   3782042,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,ฉัตรชัย
mh_res_partner_37,,ปรียาพานิช,ปรียาพานิช,0121,TRUE,TRUE,FALSE,,Default,FALSE,"เลขที่ 354,356  ถนนรามอินทรา  แขวงรามอินทรา",เขตคันนายาว  กรุงเทพฯ 10230,,,,5109092-5195617,,5109092,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,ฉัตรชัย
mh_res_partner_38,ห้างหุ้นส่วนจำกัด,ประเสริฐวิทยาสเตชั่นเนอรี่,ห้างหุ้นส่วนจำกัด ประเสริฐวิทยาสเตชั่นเนอรี่,0122,TRUE,TRUE,FALSE,,Default,FALSE,15/24-25 หมู่ 2 ถนนฉลองกรุง  แขวงลาดกระบัง,เขตลาดกระบัง  กรุงเทพฯ 10520,,,,3269317,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,ฉัตรชัย
mh_res_partner_39,ร้าน,วิริยะภัณฑ์,ร้าน วิริยะภัณฑ์,3403,TRUE,TRUE,FALSE,,Default,FALSE,1113 หมู่ 1 ถ.พหลโยธิน ต.สลกบาตร,อ.ขาณุวรลักษบุรี จ.กำแพงเพชร 62140,,,,"055-771381,01-6454755",,055-771381,,ภาคเหนือ,ร้านค้าทั่วไป,ขายส่ง,"ภาคเหนือ,ร้านค้าทั่วไป,ขายส่ง",,,ชูเกียรติ
mh_res_partner_40,,ทวีโชค,ทวีโชค,3276,TRUE,TRUE,FALSE,,Default,FALSE,239/26-27 หมู่ 4 ซอยอุทัยรัตน์,ถ.สุขุมวิท อ.เมือง จ.ชลบุรี 20000,,,,"038-285185,796555",,,,ภาคกลาง,ร้านค้าทั่วไป,ขายส่ง,"ภาคกลาง,ร้านค้าทั่วไป,ขายส่ง",,,นิติ
mh_res_partner_41,ห้างหุ้นส่วนจำกัด,ชลบุรี ว.พานิช,ห้างหุ้นส่วนจำกัด ชลบุรี ว.พานิช,3277,TRUE,TRUE,FALSE,,Default,FALSE,695/47  ถ.สุรชัย ต.มะขามหย่ง,อ.เมือง จ.ชลบุรี 20000,,,,"038-277761-3,285237,261130",,038-282649,,ภาคกลาง,ร้านค้าทั่วไป,ขายส่ง,"ภาคกลาง,ร้านค้าทั่วไป,ขายส่ง",,,นิติ
mh_res_partner_42,,บุญไทย,บุญไทย,3279,TRUE,TRUE,FALSE,,Default,FALSE,122/10 ถ.สุขุมวิท ต.ท่าประดู่,อ.เมือง จ.ระยอง 21000,,,,038-611947,,038-861168,,ภาคกลาง,ร้านค้าทั่วไป,ขายส่ง,"ภาคกลาง,ร้านค้าทั่วไป,ขายส่ง",,,นิติ
mh_res_partner_43,,พรชัยเซ็นเตอร์,พรชัยเซ็นเตอร์,3281,TRUE,TRUE,FALSE,,Default,FALSE,007/3-4  ถ.ภักดีบริรักษ์,อ.เมือง จ.ระยอง 21000,,,,"038-613415,01-8613210",,038-613415,,ภาคกลาง,ร้านค้าทั่วไป,ขายส่ง,"ภาคกลาง,ร้านค้าทั่วไป,ขายส่ง",,,นิติ
mh_res_partner_44,,อักษรภัณฑ์,อักษรภัณฑ์,3282,TRUE,TRUE,FALSE,,Default,FALSE,030  ถ.ป่าประดู่,อ.เมือง จ.ระยอง 21000,,,,038-612296,,038-612296,,ภาคกลาง,ร้านค้าทั่วไป,ขายส่ง,"ภาคกลาง,ร้านค้าทั่วไป,ขายส่ง",,,นิติ
mh_res_partner_45,,สมปองครุภัณฑ์,สมปองครุภัณฑ์,3034,TRUE,TRUE,FALSE,,Default,FALSE,159/21 ถ.ทุ่งสง-สุราษฎร์ ต.ชะมาย,อ.ทุ่งสง จ.นครศรีธรรมราช 80110,,,,"075-421355,412082",,075-421355,,ภาคใต้,ร้านค้าทั่วไป,ขายส่ง,"ภาคใต้,ร้านค้าทั่วไป,ขายส่ง",,,นิทัศน์
mh_res_partner_46,,ต.รุ่งเรือง,ต.รุ่งเรือง,3103,TRUE,TRUE,FALSE,,Default,FALSE,10 ตลาดสุขุมาล ซอย 5 ถ.พิชัย,ต.ปากเพรียว อ.เมือง จ.สระบุรี 18000,,,,"036-221323,01-9672278",,081-3711854,,ภาคเหนือ,ร้านค้าทั่วไป,ขายส่ง,"ภาคเหนือ,ร้านค้าทั่วไป,ขายส่ง",,,นิทัศน์
mh_res_partner_47,,ไทยประดิษฐ์,ไทยประดิษฐ์,3117,TRUE,TRUE,FALSE,,Default,FALSE,15/1-3 ถ.แสงทินกร,อ.ชุมแสง จ.นครสวรรค์ 60120,,,,056-282444  ที่บ้าน,,09-2716999,,ภาคเหนือ,ร้านค้าทั่วไป,ขายส่ง,"ภาคเหนือ,ร้านค้าทั่วไป,ขายส่ง",,,นิทัศน์
mh_res_partner_48,บริษัท,ทวียนต์มาร์เก็ตติ้ง จำกัด,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด,3171,TRUE,TRUE,FALSE,,Default,FALSE,608/3 หมู่ 2 ถ.พหลโยธิน,ต.เวียง อ.เมือง จ.เชียงราย 57000,,,,"053-711040,713695",,053-713304,,ภาคเหนือ,ร้านค้าทั่วไป,ขายส่ง,"ภาคเหนือ,ร้านค้าทั่วไป,ขายส่ง",,,นิทัศน์
mh_res_partner_49,ร้าน,อรัญชัย,ร้าน อรัญชัย,3187,TRUE,TRUE,FALSE,,Default,FALSE,356-357 ข้างตลาดสดสุขาภิบาล,อ.ปากช่อง จ.นครราชสีมา 30130,,,,044-311863,,,,ภาคอีสาน,ร้านค้าทั่วไป,ขายส่ง,"ภาคอีสาน,ร้านค้าทั่วไป,ขายส่ง",,,นิทัศน์
mh_res_partner_50,ห้างหุ้นส่วนจำกัด,จิตต์สิริพาณิชย์,ห้างหุ้นส่วนจำกัด จิตต์สิริพาณิชย์,3036,TRUE,TRUE,FALSE,,Default,FALSE,600/11 ถ.กาญจนวนิช ต.บ้านพรุ,อ.หาดใหญ่ จ.สงขลา 90250,,,,"074-553100, 089-8709193",,074-553101,,ภาคใต้,ร้านค้าทั่วไป,ขายส่ง,"ภาคใต้,ร้านค้าทั่วไป,ขายส่ง",,,บุญเลิศ
mh_res_partner_51,ร้าน,มิตรสาส์น,ร้าน มิตรสาส์น,3045,TRUE,TRUE,FALSE,,Default,FALSE,128-132 ถ.วิเศษกุล,อ.เมือง จ.ตรัง 92000,,,,"075-218806,2118811,01-6910126",,075-212034,,ภาคใต้,ร้านค้าทั่วไป,ขายส่ง,"ภาคใต้,ร้านค้าทั่วไป,ขายส่ง",,,บุญเลิศ
mh_res_partner_52,ห้างหุ้นส่วนจำกัด,นำวิทยา,ห้างหุ้นส่วนจำกัด นำวิทยา,3048,TRUE,TRUE,FALSE,,Default,FALSE,136/1 ถ.วิเศษกุล,อ.เมือง จ.ตรัง 92000,,,,"075-219288,212991",,075-212991,,ภาคใต้,ร้านค้าทั่วไป,ขายส่ง,"ภาคใต้,ร้านค้าทั่วไป,ขายส่ง",,,บุญเลิศ
mh_res_partner_53,ร้าน,บุษกร,ร้าน บุษกร,3058,TRUE,TRUE,FALSE,,Default,FALSE,117 ถ.ศรีเมือง,อ.ตะกั่วป่า จ.พังงา 82110,,,,"076-421706,01-5389097",,076-421706,,ภาคใต้,ร้านค้าทั่วไป,ขายส่ง,"ภาคใต้,ร้านค้าทั่วไป,ขายส่ง",,,บุญเลิศ
mh_res_partner_54,,เกียรติสินธุ สเตชั่นเนอรี่,เกียรติสินธุ สเตชั่นเนอรี่,3060,TRUE,TRUE,FALSE,,Default,FALSE,18/73 ถ.แม่หลวน ต.ตลาดเหนือ,อ.เมืองภูเก็ต  จ.ภูเก็ต  83000,,,,"076-211702,211316",,"076-211520,235385",,ภาคใต้,ร้านค้าทั่วไป,ขายส่ง,"ภาคใต้,ร้านค้าทั่วไป,ขายส่ง",,,บุญเลิศ
mh_res_partner_55,ห้างหุ้นส่วนจำกัด,ยืนยงการไฟฟ้า,ห้างหุ้นส่วนจำกัด ยืนยงการไฟฟ้า,3061,TRUE,TRUE,FALSE,,Default,FALSE,"26,28  ถ.เยาวราช  ต.ตลาดใหญ่",อ.เมือง  จ.ภูเก็ต  83000,,,,"076-211049,225610",,076-214311,,ภาคใต้,ร้านค้าทั่วไป,ขายส่ง,"ภาคใต้,ร้านค้าทั่วไป,ขายส่ง",,,บุญเลิศ
mh_res_partner_56,ห้างหุ้นส่วนจำกัด,ภูเก็ตสงวนพาณิชย์,ห้างหุ้นส่วนจำกัด ภูเก็ตสงวนพาณิชย์,3062,TRUE,TRUE,FALSE,,Default,FALSE,21-23  ถ.เยาวราช  อ.เมือง,จ.ภูเก็ต  83000,,,,"076-211625,219029",,076-216053,,ภาคใต้,ร้านค้าทั่วไป,ขายส่ง,"ภาคใต้,ร้านค้าทั่วไป,ขายส่ง",,,บุญเลิศ
mh_res_partner_57,บริษัท,โยนิโส  จำกัด,บริษัท โยนิโส  จำกัด,0774,TRUE,TRUE,FALSE,,Default,FALSE,436/12  ซอยลาดพร้าว 47 (สะพาน 2),แขวงสะพานสอง  เขตวังทองหลาง  กรุงเทพฯ  10310,,,,933-3955,,538-8344,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,ประภาพร
mh_res_partner_58,สำนักงานกฏหมาย,ศรีเมฆ,สำนักงานกฏหมาย ศรีเมฆ,0784,TRUE,TRUE,FALSE,,Default,FALSE,281  ถนนอิสรภาพ  ซอย 23,(วัดราชสิทธาราม),,,,4721794 - 4722139,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายส่ง,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายส่ง",,,ประภาพร
mh_res_partner_59,,อ.บางกอก,อ.บางกอก,0785,TRUE,TRUE,FALSE,,Default,FALSE,206/2-3 ถนนหลานหลวง,แขวงคลองมหานาค  เขตป้อมปราบศัตรูพ่าย  กรุงเทพฯ,,,,,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายส่ง,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายส่ง",,,ประภาพร
